month,站点,深度_m,u_m_s,v_m_s,流速_m_s
2021-01,珠海,5.0,nan,nan,
2021-01,珠海,15.0,nan,nan,
2021-01,珠海,25.0,nan,nan,
2021-01,珠海,35.0,nan,nan,
2021-01,珠海,45.0,nan,nan,
2021-01,珠海,55.0,nan,nan,
2021-01,珠海,65.0,nan,nan,
2021-01,珠海,75.0,nan,nan,
2021-01,珠海,85.0,nan,nan,
2021-01,珠海,95.0,nan,nan,
2021-01,珠海,105.0,nan,nan,
2021-01,珠海,115.0,nan,nan,
2021-01,珠海,125.0,nan,nan,
2021-01,珠海,135.0,nan,nan,
2021-01,珠海,145.0,nan,nan,
2021-01,珠海,155.0,nan,nan,
2021-01,珠海,165.0,nan,nan,
2021-01,珠海,175.0,nan,nan,
2021-01,珠海,185.0,nan,nan,
2021-01,珠海,195.0,nan,nan,
2021-01,珠海,205.0,nan,nan,
2021-01,珠海,215.0,nan,nan,
2021-01,珠海,225.0,nan,nan,
2021-01,珠海,238.0,nan,nan,
2021-01,珠海,262.0,nan,nan,
2021-01,珠海,303.0,nan,nan,
2021-01,珠海,366.0,nan,nan,
2021-01,珠海,459.0,nan,nan,
2021-01,珠海,584.0,nan,nan,
2021-01,珠海,747.0,nan,nan,
2021-01,珠海,949.0,nan,nan,
2021-01,珠海,1193.0,nan,nan,
2021-01,珠海,1479.0,nan,nan,
2021-01,珠海,1807.0,nan,nan,
2021-01,珠海,2174.0,nan,nan,
2021-01,珠海,2579.0,nan,nan,
2021-01,珠海,3016.0,nan,nan,
2021-01,珠海,3483.0,nan,nan,
2021-01,珠海,3972.0,nan,nan,
2021-01,珠海,4478.0,nan,nan,
2021-02,珠海,5.0,nan,nan,
2021-02,珠海,15.0,nan,nan,
2021-02,珠海,25.0,nan,nan,
2021-02,珠海,35.0,nan,nan,
2021-02,珠海,45.0,nan,nan,
2021-02,珠海,55.0,nan,nan,
2021-02,珠海,65.0,nan,nan,
2021-02,珠海,75.0,nan,nan,
2021-02,珠海,85.0,nan,nan,
2021-02,珠海,95.0,nan,nan,
2021-02,珠海,105.0,nan,nan,
2021-02,珠海,115.0,nan,nan,
2021-02,珠海,125.0,nan,nan,
2021-02,珠海,135.0,nan,nan,
2021-02,珠海,145.0,nan,nan,
2021-02,珠海,155.0,nan,nan,
2021-02,珠海,165.0,nan,nan,
2021-02,珠海,175.0,nan,nan,
2021-02,珠海,185.0,nan,nan,
2021-02,珠海,195.0,nan,nan,
2021-02,珠海,205.0,nan,nan,
2021-02,珠海,215.0,nan,nan,
2021-02,珠海,225.0,nan,nan,
2021-02,珠海,238.0,nan,nan,
2021-02,珠海,262.0,nan,nan,
2021-02,珠海,303.0,nan,nan,
2021-02,珠海,366.0,nan,nan,
2021-02,珠海,459.0,nan,nan,
2021-02,珠海,584.0,nan,nan,
2021-02,珠海,747.0,nan,nan,
2021-02,珠海,949.0,nan,nan,
2021-02,珠海,1193.0,nan,nan,
2021-02,珠海,1479.0,nan,nan,
2021-02,珠海,1807.0,nan,nan,
2021-02,珠海,2174.0,nan,nan,
2021-02,珠海,2579.0,nan,nan,
2021-02,珠海,3016.0,nan,nan,
2021-02,珠海,3483.0,nan,nan,
2021-02,珠海,3972.0,nan,nan,
2021-02,珠海,4478.0,nan,nan,
2021-03,珠海,5.0,nan,nan,
2021-03,珠海,15.0,nan,nan,
2021-03,珠海,25.0,nan,nan,
2021-03,珠海,35.0,nan,nan,
2021-03,珠海,45.0,nan,nan,
2021-03,珠海,55.0,nan,nan,
2021-03,珠海,65.0,nan,nan,
2021-03,珠海,75.0,nan,nan,
2021-03,珠海,85.0,nan,nan,
2021-03,珠海,95.0,nan,nan,
2021-03,珠海,105.0,nan,nan,
2021-03,珠海,115.0,nan,nan,
2021-03,珠海,125.0,nan,nan,
2021-03,珠海,135.0,nan,nan,
2021-03,珠海,145.0,nan,nan,
2021-03,珠海,155.0,nan,nan,
2021-03,珠海,165.0,nan,nan,
2021-03,珠海,175.0,nan,nan,
2021-03,珠海,185.0,nan,nan,
2021-03,珠海,195.0,nan,nan,
2021-03,珠海,205.0,nan,nan,
2021-03,珠海,215.0,nan,nan,
2021-03,珠海,225.0,nan,nan,
2021-03,珠海,238.0,nan,nan,
2021-03,珠海,262.0,nan,nan,
2021-03,珠海,303.0,nan,nan,
2021-03,珠海,366.0,nan,nan,
2021-03,珠海,459.0,nan,nan,
2021-03,珠海,584.0,nan,nan,
2021-03,珠海,747.0,nan,nan,
2021-03,珠海,949.0,nan,nan,
2021-03,珠海,1193.0,nan,nan,
2021-03,珠海,1479.0,nan,nan,
2021-03,珠海,1807.0,nan,nan,
2021-03,珠海,2174.0,nan,nan,
2021-03,珠海,2579.0,nan,nan,
2021-03,珠海,3016.0,nan,nan,
2021-03,珠海,3483.0,nan,nan,
2021-03,珠海,3972.0,nan,nan,
2021-03,珠海,4478.0,nan,nan,
2021-04,珠海,5.0,nan,nan,
2021-04,珠海,15.0,nan,nan,
2021-04,珠海,25.0,nan,nan,
2021-04,珠海,35.0,nan,nan,
2021-04,珠海,45.0,nan,nan,
2021-04,珠海,55.0,nan,nan,
2021-04,珠海,65.0,nan,nan,
2021-04,珠海,75.0,nan,nan,
2021-04,珠海,85.0,nan,nan,
2021-04,珠海,95.0,nan,nan,
2021-04,珠海,105.0,nan,nan,
2021-04,珠海,115.0,nan,nan,
